Protein;Count
ATP synthase subunit a;7058
ATP synthase subunit c;7057
ATP synthase subunit b;7060
ATP synthase subunit b-delta;7057
ATP synthase subunit alpha;7060
ATP synthase gamma chain;7058
ATP synthase subunit beta;7059
ATP synthase epsilon chain;7053
Corrinoid adenosyltransferase;14097
UDP-N-acetylglucosamine 1-carboxyvinyltransferase;7064
16S ribosomal RNA;7015
23S ribosomal RNA;6911
5S ribosomal RNA (partial);7055
Methylated-DNA--protein-cysteine methyltransferase;7052
putative bifunctional transcriptional activator/DNA repair enzyme AlkA;7047
Endonuclease NucS;7056
Ethylmalonyl-CoA/methylmalonyl-CoA epimerase;7051
putative acetyl-CoA acetyltransferase;7036
1,4-alpha-glucan branching enzyme GlgB;7112
Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase;7063
Glycogen phosphorylase;7066
putative ATP-dependent helicase DinG;7030
Nicotinate phosphoribosyltransferase pncB1;7054
ATP-dependent Clp protease adapter protein ClpS;7055
putative aminopeptidase;7045
CysO-cysteine peptidase;6988
Sulfur carrier protein CysO;6989
O-phosphoserine sulfhydrylase;7121
Glutamate racemase;7056
Ribonuclease PH;7056
dITP/XTP pyrophosphatase;7054
Acyl carrier protein MbtL;7056
Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM;7079
Acyl-[acyl-carrier-protein] dehydrogenase MbtN;7055
Lysine N-acyltransferase MbtK;7055
tRNA-Leu(tag);7049
Iron import ATP-binding/permease protein IrtA;7064
Iron import ATP-binding/permease protein IrtB;7062
HTH-type transcriptional repressor;21159
putative signaling protein;7056
Anti-sigma-F factor antagonist RsfA;14097
Putative diacylated glycolipid transporter LprF;7057
Alpha-pyrone synthesis polyketide synthase-like Pks18;7063
Glycolipid sulfotransferase;7112
Bifunctional protein PyrR;7054
Aspartate carbamoyltransferase;7062
Dihydroorotase;7075
Carbamoyl-phosphate synthase small chain;7059
Carbamoyl-phosphate synthase large chain;14115
Orotidine 5'-phosphate decarboxylase;6769
PE family immunomodulator PE15;7018
Guanylate kinase;7055
DNA-directed RNA polymerase subunit omega;7054
Coenzyme A biosynthesis bifunctional protein CoaBC;7063
S-adenosylmethionine synthase;6811
Baeyer-Villiger monooxygenase;13819
Putative cytochrome P450 132;7067
Ribonuclease VapC10;7048
Putative antitoxin VapB10;7046
Carboxylesterase NlhH;21154
putative primosomal protein N';6839
tRNA-Leu(aag);7056
Methionyl-tRNA formyltransferase;7043
Putative methyltransferase;7057
Ribulose-phosphate 3-epimerase;7052
Riboflavin biosynthesis protein RibD;7055
putative triacylglyceride transporter;7060
Lipoarabinomannan carrier protein LprG;7054
Riboflavin synthase;7056
Riboflavin biosynthesis protein RibBA;14233
6,7-dimethyl-8-ribityllumazine synthase;7054
Putative lipoprotein LprH;7052
UvrABC system protein C;7057
Nucleotide-binding protein;7060
Putative gluconeogenesis factor;7066
putative cell division protein WhiA;7050
Esterase PE16;7076
Thiamine thiazole synthase;6990
putative L,D-transpeptidase 3;7056
Glyceraldehyde-3-phosphate dehydrogenase;7054
Phosphoglycerate kinase;7059
Triosephosphate isomerase;7049
Dimethyl sulfoxide/trimethylamine N-oxide reductase;7080
6-phosphogluconolactonase;7027
Glucose-6-phosphate 1-dehydrogenase 2;7198
Transketolase;7053
Protoheme IX farnesyltransferase;7066
Quinone oxidoreductase 1;14127
Cycloserine biosynthesis protein DcsG;7042
Heme A synthase;7015
Daunorubicin/doxorubicin resistance ATP-binding protein DrrA;7040
Alpha-(1->6)-mannopyranosyltransferase;7064
Vegetative protein 296;7047
putative cysteine desulfurase;7056
Iron-sulfur cluster assembly scaffold protein IscU;7058
3-methylmercaptopropionyl-CoA dehydrogenase;7005
putative cobalt/nickel-exporting P-type ATPase;7066
Putative thioredoxin 2;14105
putative enoyl-CoA hydratase echA12;14044
putative ABC transporter ATP-binding protein YbiT;7057
Aconitate hydratase A;7064
Peptidoglycan endopeptidase RipA;7089
Peptidoglycan endopeptidase RipB;7062
3-oxoacyl-[acyl-carrier-protein] reductase FabG1;7058
Enoyl-[acyl-carrier-protein] reductase [NADH];7059
Ferrochelatase;7065
putative methylmalonyl-CoA mutase large subunit;13863
putative methylmalonyl-CoA mutase small subunit;7080
putative antitoxin MazE4;7063
Endoribonuclease MazF4;7061
putative GTPase;7063
Dodecin;7050
Putative glycosyltransferases;7089
dTDP-4-amino-4,6-dideoxygalactose transaminase;13552
UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase;7033
GDP-mannose 4,6-dehydratase;13884
GDP-L-fucose synthase;14285
Sulfolipid-1 exporter Sap;14099
Putative fatty-acid--CoA ligase fadD25;14182
Sulfolipid-1 exporter MmpL8;14053
Phthiotriol/phenolphthiotriol dimycocerosates methyltransferase;14034
Mycocerosic acid synthase-like polyketide synthase;7329
putative alcohol dehydrogenase adh;7056
Putative monooxygenase;21176
Isoleucine--tRNA ligase;7058
DNA polymerase IV 1;14107
putative L-asparaginase;7045
Lipoprotein signal peptidase;7059
putative RNA pseudouridine synthase;14120
Lipoprotein LprI;7067
Group 1 truncated hemoglobin GlbN;7061
DNA polymerase III subunit alpha;7070
Long-chain-fatty-acid--CoA ligase FadD15;14572
Putative acyltransferase plsB1;8859
Fumarate reductase flavoprotein subunit;14059
Fumarate reductase subunit C;6984
Fumarate reductase subunit D;7054
L-threonine dehydratase biosynthetic IlvA;7114
Antitoxin VapB11;7065
Ribonuclease VapC11;7064
Malto-oligosyltrehalose trehalohydrolase;7091
Putative maltooligosyl trehalose synthase;7075
Glycogen operon protein GlgX;7068
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase;7063
8-amino-7-oxononanoate synthase 1;6890
ATP-dependent dethiobiotin synthetase BioD;7040
Biotin synthase;7066
putative inactive lipase;7060
Quinolinate synthase A;7054
L-aspartate oxidase;7058
Nicotinate-nucleotide pyrophosphorylase [carboxylating];7056
Histidinol dehydrogenase;7062
Histidinol-phosphate aminotransferase;7057
Imidazoleglycerol-phosphate dehydratase;7057
Imidazole glycerol phosphate synthase subunit HisH;7057
Phosphoribosyl isomerase A;7055
putative inositol 1-monophosphatase ImpA;7053
Imidazole glycerol phosphate synthase subunit HisF;7054
Phosphoribosyl-AMP cyclohydrolase;7053
Sodium-potassium/proton antiporter ChaA;7049
Putative peroxiredoxin;14118
Anthranilate synthase component 1;7039
Indole-3-glycerol phosphate synthase;7055
Tryptophan synthase beta chain;7082
Tryptophan synthase alpha chain;7064
Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase;7063
Pyruvate kinase;7077
Acyl-CoA thioesterase 2;14091
Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX;14111
putative ABC transporter ATP-binding/permease protein;7011
ATP-binding/permease protein CydD;7007
Cytochrome bd-I ubiquinol oxidase subunit 2;7050
Cytochrome bd-II ubiquinol oxidase subunit 1;7049
Adenylate cyclase;7078
tRNA-Leu(caa);7057
putative transcriptional regulatory protein pdtaR;6951
DNA polymerase I;7065
30S ribosomal protein S1;7056
Dephospho-CoA kinase;7058
UvrABC system protein B;7095
putative multidrug-efflux transporter;7059
Universal stress protein;63962
UvrABC system protein A;7064
Translation initiation factor IF-3;7049
50S ribosomal protein L35;7057
50S ribosomal protein L20;7060
23S rRNA (uridine(2479)-2'-O)-methyltransferase;6987
Phenylalanine--tRNA ligase alpha subunit;7059
Phenylalanine--tRNA ligase beta subunit;7113
tRNA-Pro(ggg);13298
N-acetyl-gamma-glutamyl-phosphate reductase;7050
Arginine biosynthesis bifunctional protein ArgJ;7063
Acetylglutamate kinase;7046
Acetylornithine aminotransferase;7046
Ornithine carbamoyltransferase;7039
Arginine repressor;7050
Argininosuccinate synthase;6944
Argininosuccinate lyase;7053
Polyketide synthase-like Pks10;7054
Phenolphthiocerol synthesis polyketide synthase type I Pks15/1;23949
Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1;14132
Alpha-pyrone synthesis polyketide synthase-like Pks11;7064
Putative cytochrome P450 139;7078
Energy-dependent translational throttle protein EttA;14067
Putative tartrate transporter;6980
HTH-type transcriptional regulator Cmr;7057
GTP 3',8-cyclase;14089
putative multidrug ABC transporter ATP-binding protein YbhF;7030
Putative 3-methyladenine DNA glycosylase;7051
Tyrosine--tRNA ligase;7038
Putative lipoprotein LprJ;13849
D,L-glycerol 3-phosphate phosphatase;7061
16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA;7074
NAD kinase;7061
DNA repair protein RecN;7061
Copper transporter MctB;7054
CTP synthase;7028
Methanol dehydrogenase activator;6903
Tyrosine recombinase XerD;7066
tRNA 5-hydroxyuridine methyltransferase;7051
D-serine/D-alanine/glycine transporter;7051
PPE family protein PPE26;13663
Bicarbonate transporter BicA;7062
Segregation and condensation protein A;7056
Segregation and condensation protein B;7056
Cytidylate kinase;7058
GTPase Der;7055
Dihydroanticapsin 7-dehydrogenase;14012
putative 3-hydroxybutyryl-CoA dehydrogenase;7034
Kynurenine formamidase;7052
3-keto-5-aminohexanoate cleavage enzyme;7196
HTH-type transcriptional regulator TtgV;14045
Putative antitoxin VapB12;7040
6-aminohexanoate-dimer hydrolase;7059
6-hydroxy-D-nicotine oxidase;7017
Putative D-alanyl-D-alanine carboxypeptidase;11943
Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2;7009
putative nitrate/nitrite transporter NarK2;7033
putative sulfate transporter;7313
Serine/threonine-protein kinase PknE;7064
Isopentenyl-diphosphate Delta-isomerase;7048
Serine/threonine-protein kinase PknF;7022
ABC transporter ATP-binding/permease protein;14315
Long-chain-fatty-acid--CoA ligase FadD17;14307
6-methylpretetramide 4-monooxygenase;7060
Phospholipase C 1;9349
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase;2636
Protein-methionine-sulfoxide reductase catalytic subunit MsrP;2631
putative cutinase;17837
L-gulono-1,4-lactone dehydrogenase;7059
Phloretin hydrolase;7002
Cytochrome P450 144;7272
4-alpha-glucanotransferase;7176
ESX-5 secretion system ATPase EccB5;7087
ESX-5 secretion system protein EccC5;15988
Putative cytochrome P450 143;7062
putative PPE family protein PPE51;20090
ESAT-6-like protein EsxW;9807
ESAT-6-like protein EsxN;9559
ESX-5 secretion-associated protein EspG5;7063
ESX-5 secretion system protein EccD5;7114
Mycosin-5;7064
ESX-5 secretion system protein EccE5;7059
ESX-5 secretion system protein EccA5;7057
putative PPE family protein PPE42;14405
putative PPE family protein PPE33;14276
PE-PGRS family protein PE25;17689
Protein MgtC;7055
NADH dehydrogenase-like protein;14244
PE-PGRS family protein PE_PGRS33;6928
Vitamin B12 transport ATP-binding protein BacA;7059
Acetolactate synthase large subunit IlvG;7065
Protein translocase subunit SecA 2;7053
Putative cardiolipin synthase;7057
Glycine cleavage system H protein;7057
putative glycine dehydrogenase (decarboxylating);7056
Putative serine esterase;7091
Malate synthase G;7073
Ribonuclease VapC13;14107
6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating;6887
Transcriptional regulator BlaI;7059
Putative esterase;7056
Urease subunit gamma;7059
Urease subunit beta;7059
Urease subunit alpha;7094
Urease accessory protein UreF;7044
Urease accessory protein UreG;7059
Urease accessory protein UreD;7054
F420-dependent glucose-6-phosphate dehydrogenase 1;7020
Putative oxidoreductase;7044
Molybdate-binding protein ModA;7057
Sulfate transport system permease protein CysW;14108
Molybdenum import ATP-binding protein ModC;7058
Alanine and proline-rich secreted protein Apa;6931
putative alcohol dehydrogenase AdhA;7062
putative oxidoreductase EphD;14111
putative CoA-transferase;7074
Rhodocoxin reductase;7041
Putative L-lactate dehydrogenase;7068
Bacterioferritin;7057
Putative cytochrome P450 140;7157
putative lipoprotein LppE;7049
Resuscitation-promoting factor RpfC;7056
Secreted chorismate mutase;7058
Diacylglycerol acyltransferase/mycolyltransferase Ag85B;7058
putative zinc-binding alcohol dehydrogenase;7459
D-aminoacyl-tRNA deacylase;7053
CinA-like protein;7054
Sialic acid transporter NanT;7054
putative D-amino-acid oxidase;7052
Catalase-peroxidase;6741
Transcriptional regulator FurA;7041
Putative lipoprotein LppC;7010
Isocitrate lyase 2;7065
PPE family protein PPE34;19925
Long-chain-fatty-acid--AMP ligase FadD32;14115
Immunogenic protein MPT63;7057
Galactitol 2-dehydrogenase;1611
HTH-type transcriptional regulator;14035
Thiol peroxidase;7042
Acryloyl-CoA reductase (NADH);6686
Putative acyl-CoA dehydrogenase FadE17;21184
3,6-diketocamphane 1,6-monooxygenase;7052
Epoxide hydrolase B;9434
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase;7022
putative endoribonuclease MazF5;7035
Antitoxin MazE5;7057
putative endoribonuclease HigB1;7052
Antitoxin HigA1;7049
SecB-like chaperone;7051
Toxin ParE1;7053
Antitoxin ParD1;7056
Ribonuclease VapC35;7056
Antitoxin VapB35;7056
Transcriptional repressor Mce3R;7051
Intermembrane phospholipid transport system permease protein MlaE;6835
putative transporter;28630
Immunogenic protein MPT64;14093
Ribonucleoside-diphosphate reductase subunit beta nrdF1;7047
Ribonuclease VapC36;7030
Putative antitoxin VapB36;7021
rRNA adenine N-6-methyltransferase;6999
Endoribonuclease MazF6;7054
Antitoxin MazE6;7056
putative cation-transporting ATPase G;7056
HTH-type transcriptional regulator CmtR;6718
putative cation-transporting ATPase F;8947
3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase;7054
putative glycosyl hydrolase;14091
Antitoxin VapB15;7055
Ribonuclease VapC15;7056
Putative antitoxin VapB45;6912
Putative ribonuclease VapC45;7051
Putative antitoxin HigA2;13719
Putative toxin HigB2;14119
putative cation efflux system protein;7034
Oxygen sensor histidine kinase response regulator DosT;8841
Putative ATP-dependent 6-phosphofructokinase isozyme 2;7060
Alpha-crystallin;7052
Putative NAD(P)H nitroreductase acg;7037
Diacetylchitobiose uptake system ATP-binding protein MsiK;14108
L-arabinose transport system permease protein AraQ;14101
Lactose transport system permease protein LacF;7078
Nicotinamidase/pyrazinamidase;6381
RNA polymerase-binding protein RbpA;7059
Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase;7071
Carboxymethylenebutenolidase;7036
30S ribosomal protein S14;7038
Aerobic cobaltochelatase subunit CobN;6880
Antitoxin MazE7;7056
Precorrin-8X methylmutase;6931
Cobalamin biosynthesis protein CobIJ;6993
Beta-lactamase;7058
ECF RNA polymerase sigma factor SigC;7047
Precorrin-6A reductase;7387
Precorrin-4 C(11)-methyltransferase;7052
Precorrin-6Y C(5,15)-methyltransferase [decarboxylating];7066
F420H(2)-dependent biliverdin reductase;6833
Putative lipoprotein LppJ;7078
Serine/threonine-protein kinase PknJ;7097
putative dipeptidase PepE;7079
5'-3' exonuclease;7054
putative helicase HelY;7143
Sec-independent protein translocase protein TatC;7139
Sec-independent protein translocase protein TatA;7068
Protein PafC;7068
Protein PafB;7062
Pup--protein ligase;7070
Ribonuclease VapC37;7053
putative PPE family protein PPE36;7118
Proteasome subunit alpha;7060
Proteasome subunit beta;7050
Prokaryotic ubiquitin-like protein Pup;7040
Pup deamidase/depupylase;7051
Proteasome-associated ATPase;7061
Putative lipoprotein LppK;7057
tRNA (adenine(58)-N(1))-methyltransferase TrmI;7057
ATP phosphoribosyltransferase;7061
Phosphoribosyl-ATP pyrophosphatase;7052
Methionine synthase;7248
L-asparagine permease 1;7068
L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase;7071
3'-phosphoadenosine 5'-phosphate phosphatase;7059
Phosphoserine phosphatase 1;14011
Undecaprenyl-diphosphatase;7062
Dihydroorotate dehydrogenase (quinone);7059
Succinyl-diaminopimelate desuccinylase;14114
tRNA-Leu(gag);7066
Toxin ParE2;7063
Antitoxin ParD2;7064
Cell wall synthesis protein Wag31;7061
Cell division protein SepF;7062
Pyridoxal phosphate homeostasis protein;7064
Polyphenol oxidase;7063
Cell division protein FtsZ;7069
Cell division protein FtsQ;7064
UDP-N-acetylmuramate--L-alanine ligase;7061
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase;7054
putative peptidoglycan glycosyltransferase FtsW;6959
UDP-N-acetylmuramoylalanine--D-glutamate ligase;7093
Phospho-N-acetylmuramoyl-pentapeptide-transferase;7062
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;7083
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase;6989
Penicillin-binding protein PbpB;7053
Ribosomal RNA small subunit methyltransferase H;7056
Transcriptional regulator MraZ;7061
Protein LppM;7058
All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific);7010
Alpha-(1->6)-mannopyranosyltransferase A;7059
DNA-binding protein;7060
Serine/threonine-protein kinase PknL;7069
IS110 family transposase ISArsp3;10784
Phospho-2-dehydro-3-deoxyheptonate aldolase AroG;7073
3'-5' exoribonuclease;7048
Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase;7064
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase;7064
Putative bifunctional exonuclease/endonuclease protein;14183
Anthranilate phosphoribosyltransferase;7045
putative cytochrome c oxidase subunit 3;7060
Cytochrome bc1 complex cytochrome c subunit;7060
Cytochrome bc1 complex Rieske iron-sulfur subunit;7061
Cytochrome bc1 complex cytochrome b subunit;7055
putative transport accessory protein MmpS3;14101
Cytochrome c oxidase polypeptide 4;7054
Cytochrome c oxidase subunit 2;7061
Putative asparagine synthetase [glutamine-hydrolyzing];6894
Adenosine kinase;6843
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase;7051
Adenosylcobinamide-GDP ribazoletransferase;7054
Branched-chain-amino-acid aminotransferase;7060
Aminomethyltransferase;7059
putative cytosol aminopeptidase;7071
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex;7066
Epimerase family protein;7061
Octanoyltransferase;7060
Lipoyl synthase;7060
Glutamine synthetase;14154
Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme;7089
Carboxylesterase B;14106
Carboxylesterase A;7058
3-methyl-2-oxobutanoate hydroxymethyltransferase;7058
Bifunctional protein;7060
putative aminotransferase;14132
putative low molecular weight protein-tyrosine-phosphatase;7058
putative SURF1-like protein;7034
Cobalamin biosynthesis protein CobD;7009
tRNA-Val(tac);7068
Alkyl hydroperoxide reductase E;7059
Pyruvate dehydrogenase E1 component;7041
Malonyl CoA-acyl carrier protein transacylase;7045
Meromycolate extension acyl carrier protein;7057
3-oxoacyl-[acyl-carrier-protein] synthase 1;7059
3-oxoacyl-[acyl-carrier-protein] synthase 2;7060
putative propionyl-CoA carboxylase beta chain 6;7006
Glycerol-3-phosphate dehydrogenase 1;6975
Diacylglycerol kinase;7062
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial;14223
S-(hydroxymethyl)mycothiol dehydrogenase;7204
Apolipoprotein N-acyltransferase;7196
Methyl-branched lipid omega-hydroxylase;7062
Cyclo(L-tyrosyl-L-tyrosyl) synthase;6029
Mycocyclosin synthase;6374
putative Na(+)/H(+) exchanger;7068
putative CDP-diacylglycerol pyrophosphatase;7121
Putative lipoprotein LppO;7049
Putative thiosulfate sulfurtransferase SseB;7105
Putative cystathionine beta-lyase;7062
Haloalkane dehalogenase 1;7053
Chaperone protein HtpG;7101
putative metallo-hydrolase;7056
putative cutinase cut2;7047
Tyrosine recombinase XerC;20671
sn-glycerol-3-phosphate transport system permease protein UgpA;13980
putative amino acid permease YhdG;14130
Ornithine aminotransferase;7073
Ornithine aminotransferase 2;7052
N(G),N(G)-dimethylarginine dimethylaminohydrolase;7109
Regulatory protein AsnC;7054
putative PE family protein PE23;7051
Putative lipoprotein LppP;7053
Putative malate oxidoreductase [NAD];7054
Multidrug resistance protein Stp;7375
O-acetylserine sulfhydrylase;7467
Serine acetyltransferase;7052
putative transport protein MmpL9;7496
tRNA-Asn(gtt);7066
DNA primase;7070
Deoxyguanosinetriphosphate triphosphohydrolase-like protein;7057
ESAT-6-like protein EsxO;5371
Phospholipase C 3;6894
Phospholipase C 2;7852
putative PPE family protein PPE38;15607
Glycine--tRNA ligase;7062
HTH-type transcriptional repressor SmtB;7050
Zinc uptake regulation protein;7052
Decaprenyl diphosphate synthase;7051
DNA repair protein RecO;7053
Putative amidase AmiA2;7061
GTPase Era;7047
Endoribonuclease YbeY;7055
PhoH-like protein;7052
Ribosomal RNA small subunit methyltransferase E;7038
Chaperone protein DnaJ 2;7069
Heat-inducible transcription repressor HrcA;7055
Low molecular weight antigen MTB12;7055
Protein MbtH;7053
L-lysine N6-monooxygenase MbtG;7064
Linear gramicidin synthase subunit D;7031
Dimodular nonribosomal peptide synthase;6926
6-deoxyerythronolide-B synthase EryA3, modules 5 and 6;7092
Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks15;11803
Phenyloxazoline synthase MbtB;7074
Salicyl-AMP ligase / salicyl-S-ArCP synthetase;7056
Salicylate synthase;7060
putative proteinA/RVBD_2386A;7044
Heme chaperone HemW;7069
Resuscitation-promoting factor RpfD;7055
Sulfite reductase [ferredoxin];7059
putative phosphoadenosine phosphosulfate reductase;7053
Sirohydrochlorin cobaltochelatase;7032
Glutathione hydrolase proenzyme;7041
Sulfate/thiosulfate import ATP-binding protein CysA;7041
Sulfate-binding protein;7049
Trehalase;7077
Elongation factor 4;7067
Ribonuclease BN;14125
30S ribosomal protein S20;7058
N-acetyltransferase Eis;7066
DegV domain-containing protein;7047
Diglucosylglycerate octanoyltransferase;7057
Glucosyl-3-phosphoglycerate phosphatase;7058
Ribosomal silencing factor RsfS;7054
putative nicotinate-nucleotide adenylyltransferase;7055
Gamma-glutamyl phosphate reductase;7052
Alkyl hydroperoxide reductase C;7056
Alkyl hydroperoxide reductase AhpD;7058
PPE family protein PPE41;7054
Bifunctional ribokinase/ribose-5-phosphate isomerase A;6992
Glutamine-dependent NAD(+) synthetase;7062
Glutamate 5-kinase;7062
GTPase Obg;7059
50S ribosomal protein L27;7053
50S ribosomal protein L21;7054
Aerobic C4-dicarboxylate transport protein;7038
Ribonuclease E;7052
Nucleoside diphosphate kinase;7058
Dihydrofolate synthase/folylpolyglutamate synthase;7061
Valine--tRNA ligase;7065
Putative trans-acting enoyl reductase;7116
Resuscitation-promoting factor RpfE;6987
putative molybdenum cofactor guanylyltransferase;7059
2-oxoglutarate oxidoreductase subunit KorA;7064
ATP-dependent Clp protease ATP-binding subunit ClpX;7056
Homocysteine S-methyltransferase;7055
Drug efflux pump JefA;7092
ATP-dependent Clp protease proteolytic subunit 2;7059
ATP-dependent Clp protease proteolytic subunit 1;7057
Trigger factor;7061
tRNA-Pro(tgg);7065
tRNA-Gly(tcc);7064
Endonuclease 8 1;14055
Ribose-5-phosphate isomerase B;7054
Thioredoxin-like reductase;6784
Aminopeptidase N;7072
Group 2 truncated hemoglobin GlbO;7059
Oligo-1,6-glucosidase;7052
NAD-specific glutamate dehydrogenase;7150
Glycerol-3-phosphate acyltransferase;7155
tRNA-Arg(tct);7060
putative enoyl-CoA hydratase echA14;7049
Ribonuclease VapC38;7052
Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex;7055
3-methyl-2-oxobutanoate dehydrogenase subunit beta;7057
3-methyl-2-oxobutanoate dehydrogenase subunit alpha;7060
Citrate lyase subunit beta-like protein;7048
Methylmalonyl-CoA carboxyltransferase 12S subunit;7083
putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B;7055
putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A;7058
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase;14116
Oligoribonuclease;7054
tRNA-His(gtg);13648
L,D-transpeptidase 2;7084
tRNA-Lys(ctt);7063
Holo-[acyl-carrier-protein] synthase;6992
Putative peptidoglycan hydrolase;7066
Putative antitoxin VapB17;5326
Ribonuclease VapC17;7053
Mrr restriction system protein;7057
Ribonuclease VapC39;7053
Transcription antitermination protein NusB;7046
Elongation factor P;7055
Aminopeptidase YpdF;7051
3-dehydroquinate dehydratase;7061
3-dehydroquinate synthase;7056
Shikimate kinase;7041
Chorismate synthase;7049
Putative lipoprotein LppA;13898
Putative antitoxin VapB19;7057
Ribonuclease VapC19;7056
23S rRNA-specific endonuclease VapC20;7052
Antitoxin VapB20;7057
Shikimate dehydrogenase (NADP(+));6951
Endolytic murein transglycosylase;7054
Putative pre-16S rRNA nuclease;7048
Alanine--tRNA ligase;7065
putative AAA domain-containing protein;7081
Aspartate--tRNA(Asp/Asn) ligase;7059
2-dehydropantoate 2-reductase;7060
Haloalkane dehalogenase 3;7050
Histidine--tRNA ligase;7056
putative peptidyl-prolyl cis-trans isomerase B;7054
Bifunctional (p)ppGpp synthase/hydrolase RelA;7056
Adenine phosphoribosyltransferase;7057
putative lipoprotein;7052
Protein translocase subunit SecF;6979
Protein translocase subunit SecD;7073
Sec translocon accessory complex subunit YajC;7055
4-aminobutyrate aminotransferase;7064
Carboxylic acid reductase;7108
Holliday junction ATP-dependent DNA helicase RuvB;7022
Holliday junction ATP-dependent DNA helicase RuvA;7058
Crossover junction endodeoxyribonuclease RuvC;7056
Antitoxin VapB40;7045
Ribonuclease VapC40;7056
Polyamine aminopropyltransferase;7058
Antitoxin VapB41;7055
Ribonuclease VapC41;7013
putative transcriptional regulatory protein;7055
Pyridoxal 5'-phosphate synthase subunit PdxT;7057
Pyridoxal 5'-phosphate synthase subunit PdxS;7061
Pyridoxine 5'-phosphate oxidase;7060
Phosphatidyl-myo-inositol mannosyltransferase;7056
Phosphatidylinositol mannoside acyltransferase;7056
Phosphatidylinositol phosphate synthase;7052
AP-4-A phosphorylase;7055
Threonine--tRNA ligase;7066
Putative zinc metalloprotease Rip3;7080
Hypoxic response protein 1;7052
Putative uncharacterized protein;7042
putative protein archease;7051
RNA-splicing ligase RtcB;7053
Putative O-phosphotransferase;7060
Cadmium-induced protein CadI;7046
Arsenic resistance transcriptional regulator ArsR1;7033
Arsenate reductase;7050
tRNA-Val(cac);7061
tRNA-Gly(gcc);14152
tRNA-Cys(gca);7065
tRNA-Val(gac);7060
Putative prophage phiRv2 integrase;6599
putative N-acetyltransferase;7059
Cell division protein ZapE;7060
Peptide methionine sulfoxide reductase MsrB;7064
Protoporphyrinogen oxidase;7027
Uroporphyrinogen decarboxylase;7053
Ribonuclease D;7024
1-deoxy-D-xylulose-5-phosphate synthase;18286
Fluoroquinolones export permease protein;14105
Fluoroquinolones export ATP-binding protein;7050
23S rRNA (uracil-C(5))-methyltransferase RlmCD;6959
Potassium transporter KimA;7056
Trk system potassium uptake protein TrkA;14113
Deoxyuridine 5'-triphosphate nucleotidohydrolase;7052
Inositol-1-monophosphatase SuhB;7057
Polyphosphate glucokinase;7060
RNA polymerase sigma factor SigA;7060
Putative aminoacrylate peracid reductase RutC;7051
RNA polymerase sigma factor SigB;7045
Iron-dependent repressor IdeR;7396
putative soluble pyridine nucleotide transhydrogenase;7070
Transcriptional repressor NrdR;7055
LexA repressor;7072
GTPase HflX;7050
Diaminopimelate epimerase;7054
tRNA dimethylallyltransferase;7057
tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase;6725
Regulatory protein RecX;7053
Protein RecA;7064
4'-demethylrebeccamycin synthase;6785
Epoxide hydrolase EphG;7003
35 kDa protein;7056
Transcriptional regulator ClgR;7055
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;7056
Amino-acid acetyltransferase;6862
DNA translocase FtsK;6841
Ribonuclease J;7150
4-hydroxy-tetrahydrodipicolinate synthase;7056
Flavin-dependent thymidylate synthase;7059
Ribonuclease VapC21;7056
Antitoxin VapB21;7052
